age,gendar,stage,martial status ,location,college,do you support feminism,are a membet from womens organization?,does feminism affect divorce and family problems?
19,مێ,2,سەڵت,دەرەوەی شار,Zankoy qaewan,بەڵێ,نەخێر,بەڵێ
18,مێ,2,سەڵت,سلێمانی,Paymangay hunara jwanakan,بەڵێ,نەخێر,بەڵێ
20,مێ,2,سەڵت,سلێمانی,Education ,نەخێر,نەخێر,بەڵێ
21,نێر,5,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,بەڵێ
20,مێ,4,خێزاندار,سلێمانی,,بەڵێ,بەڵێ,نەخێر
20,نێر,1,سەڵت,دەرەوەی شار,Soran university faculty of science computer department ,نەخێر,نەخێر,بەڵێ
21+,نێر,3,سەڵت,سلێمانی,زانست,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,نێر,3,سەڵت,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
21+,,1,سەڵت,سلێمانی,Zanst ,بەڵێ,نەخێر,نەخێر
18,مێ,1,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,نێر,3,سەڵت,سلێمانی,,نەخێر,نەخێر,نەخێر
21+,نێر,5,خێزاندار,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
21,نێر,4,سەڵت,دەرەوەی شار,زانست ,نەخێر,نەخێر,بەڵێ
21,مێ,4,سەڵت,سلێمانی,,نەخێر,نەخێر,نەخێر
20,مێ,3,خێزاندار,دەرەوەی شار,,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,دەرەوەی شار,,بەڵێ,نەخێر,نەخێر
21,مێ,2,خێزاندار,دەرەوەی شار,,بەڵێ,بەڵێ,نەخێر
19,مێ,2,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,مێ,3,سەڵت,سلێمانی,,بەڵێ,نەخێر,نەخێر
20,نێر,2,سەڵت,سلێمانی,,نەخێر,نەخێر,بەڵێ
19,مێ,2,سەڵت,دەرەوەی شار,knu,بەڵێ,نەخێر,نەخێر
21,مێ,3,سەڵت,سلێمانی,College of science - computer department ,نەخێر,نەخێر,بەڵێ
18,نێر,1,سەڵت,سلێمانی,زانستی کۆمپیوتەر,بەڵێ,نەخێر,بەڵێ
